City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Hauterive,FR,2020-08-20 03:32:30,46.09,3.45,71.6,56,0,4.7
274,Kisangani,CD,2020-08-20 03:32:31,0.52,25.2,71.96,96,100,5.03
275,Gijon,ES,2020-08-20 03:32:31,43.54,-5.66,66.99,77,95,1.01
276,Mpanda,TZ,2020-08-20 03:32:31,-6.37,31.04,62.17,55,44,2.53
277,Port-Cartier,CA,2020-08-20 03:32:31,50.03,-66.87,60.01,93,90,4.7
278,Chepo,PA,2020-08-20 03:32:32,9.17,-79.1,78.8,100,75,0.96
279,Acari,PE,2020-08-20 03:32:32,-15.43,-74.62,59.86,66,69,4.63
280,Jadu,LY,2020-08-20 03:32:32,31.95,12.03,76.06,40,0,6.64
281,Macae,BR,2020-08-20 03:32:32,-22.37,-41.79,73.4,88,3,2.24
282,Ondjiva,AO,2020-08-20 03:32:33,-17.07,15.73,45.5,43,30,7.27
283,Santa Fe,AR,2020-08-20 03:32:33,-31.63,-60.7,45.0,45,3,4.0
284,Szigetvar,HU,2020-08-20 03:32:33,46.05,17.81,60.01,89,2,4.5
285,Bealanana,MG,2020-08-20 03:32:33,-14.55,48.73,53.6,86,85,3.09
286,Canavieiras,BR,2020-08-20 03:32:34,-15.68,-38.95,69.44,85,0,4.07
287,Sonqor,IR,2020-08-20 03:32:34,34.78,47.6,60.8,25,0,4.7
288,Sao Gabriel Da Cachoeira,BR,2020-08-20 03:32:34,-0.13,-67.09,76.57,74,0,1.83
289,Great Yarmouth,GB,2020-08-20 03:32:06,52.61,1.73,69.01,99,100,3.0
290,Manaure,CO,2020-08-20 03:32:34,11.78,-72.44,83.55,75,75,8.21
291,Chicama,PE,2020-08-20 03:32:35,-7.84,-79.15,59.76,83,100,5.84
292,Oktyabrskiy,RU,2020-08-20 03:32:35,54.48,53.47,51.26,74,49,15.5
293,Tucano,BR,2020-08-20 03:32:35,-10.96,-38.79,64.31,96,17,4.27
294,Veraval,IN,2020-08-20 03:32:35,20.9,70.37,82.22,84,100,17.16
295,Mucurapo,TT,2020-08-20 03:32:35,10.67,-61.53,80.6,78,20,6.33
296,Aromashevo,RU,2020-08-20 03:32:36,56.86,68.64,53.35,90,100,10.0
297,Yalova,TR,2020-08-20 03:32:33,40.66,29.28,64.4,93,0,6.93
298,Caravelas,BR,2020-08-20 03:32:36,-17.71,-39.25,71.62,87,1,7.31
299,Khor,RU,2020-08-20 03:32:36,47.89,134.95,67.55,65,0,12.39
300,Longonjo,AO,2020-08-20 03:32:37,-12.91,15.25,53.46,40,2,3.98
301,Apiai,BR,2020-08-20 03:32:37,-24.51,-48.84,52.23,100,100,1.97
302,Tshela,CD,2020-08-20 03:32:37,-4.98,12.93,71.74,89,100,3.22
